Shot,Coordinate,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20
1,X1,55,59,45,52,53,38,42,39,31,36,31,36,43,31,34,38,35,,,
1,Y1,67,65,70,75,69,62,58,59,80,57,60,63,59,71,67,47,66,,,
1,X2,598,596,599,593,601,625,627,623,620,624,618,621,630,615,620,624,621,,,
1,Y2,38,53,45,45,41,50,42,51,57,50,51,58,49,60,47,49,49,,,
1,XH,359,316,320,352,354,326,327,333,343,355,343,325,338,336,324,343,325,,,
1,YH,347,355,351,354,348,351,344,349,362,347,349,354,347,358,351,340,350,,,
2,X1,,,,,,,,,,,,,,,,,,,,
2,Y1,,,,,,,,,,,,,,,,,,,,
2,X2,,,,,,,,,,,,,,,,,,,,
2,Y2,,,,,,,,,,,,,,,,,,,,
2,XH,,,,,,,,,,,,,,,,,,,,
2,YH,,,,,,,,,,,,,,,,,,,,
3,X1,,,,,,,,,,,,,,,,,,,,
3,Y1,,,,,,,,,,,,,,,,,,,,
3,X2,,,,,,,,,,,,,,,,,,,,
3,Y2,,,,,,,,,,,,,,,,,,,,
3,XH,,,,,,,,,,,,,,,,,,,,
3,YH,,,,,,,,,,,,,,,,,,,,
4,X1,,,,,,,,,,,,,,,,,,,,
4,Y1,,,,,,,,,,,,,,,,,,,,
4,X2,,,,,,,,,,,,,,,,,,,,
4,Y2,,,,,,,,,,,,,,,,,,,,
4,XH,,,,,,,,,,,,,,,,,,,,
4,YH,,,,,,,,,,,,,,,,,,,,
5,X1,,,,,,,,,,,,,,,,,,,,
5,Y1,,,,,,,,,,,,,,,,,,,,
5,X2,,,,,,,,,,,,,,,,,,,,
5,Y2,,,,,,,,,,,,,,,,,,,,
5,XH,,,,,,,,,,,,,,,,,,,,
5,YH,,,,,,,,,,,,,,,,,,,,
6,X1,,,,,,,,,,,,,,,,,,,,
6,Y1,,,,,,,,,,,,,,,,,,,,
6,X2,,,,,,,,,,,,,,,,,,,,
6,Y2,,,,,,,,,,,,,,,,,,,,
6,XH,,,,,,,,,,,,,,,,,,,,
6,YH,,,,,,,,,,,,,,,,,,,,
7,X1,,,,,,,,,,,,,,,,,,,,
7,Y1,,,,,,,,,,,,,,,,,,,,
7,X2,,,,,,,,,,,,,,,,,,,,
7,Y2,,,,,,,,,,,,,,,,,,,,
7,XH,,,,,,,,,,,,,,,,,,,,
7,YH,,,,,,,,,,,,,,,,,,,,
8,X1,,,,,,,,,,,,,,,,,,,,
8,Y1,,,,,,,,,,,,,,,,,,,,
8,X2,,,,,,,,,,,,,,,,,,,,
8,Y2,,,,,,,,,,,,,,,,,,,,
8,XH,,,,,,,,,,,,,,,,,,,,
8,YH,,,,,,,,,,,,,,,,,,,,
9,X1,,,,,,,,,,,,,,,,,,,,
9,Y1,,,,,,,,,,,,,,,,,,,,
9,X2,,,,,,,,,,,,,,,,,,,,
9,Y2,,,,,,,,,,,,,,,,,,,,
9,XH,,,,,,,,,,,,,,,,,,,,
9,YH,,,,,,,,,,,,,,,,,,,,
10,X1,,,,,,,,,,,,,,,,,,,,
10,Y1,,,,,,,,,,,,,,,,,,,,
10,X2,,,,,,,,,,,,,,,,,,,,
10,Y2,,,,,,,,,,,,,,,,,,,,
10,XH,,,,,,,,,,,,,,,,,,,,
10,YH,,,,,,,,,,,,,,,,,,,,
11,X1,,,,,,,,,,,,,,,,,,,,
11,Y1,,,,,,,,,,,,,,,,,,,,
11,X2,,,,,,,,,,,,,,,,,,,,
11,Y2,,,,,,,,,,,,,,,,,,,,
11,XH,,,,,,,,,,,,,,,,,,,,
11,YH,,,,,,,,,,,,,,,,,,,,
12,X1,,,,,,,,,,,,,,,,,,,,
12,Y1,,,,,,,,,,,,,,,,,,,,
12,X2,,,,,,,,,,,,,,,,,,,,
12,Y2,,,,,,,,,,,,,,,,,,,,
12,XH,,,,,,,,,,,,,,,,,,,,
12,YH,,,,,,,,,,,,,,,,,,,,
13,X1,,,,,,,,,,,,,,,,,,,,
13,Y1,,,,,,,,,,,,,,,,,,,,
13,X2,,,,,,,,,,,,,,,,,,,,
13,Y2,,,,,,,,,,,,,,,,,,,,
13,XH,,,,,,,,,,,,,,,,,,,,
13,YH,,,,,,,,,,,,,,,,,,,,
14,X1,,,,,,,,,,,,,,,,,,,,
14,Y1,,,,,,,,,,,,,,,,,,,,
14,X2,,,,,,,,,,,,,,,,,,,,
14,Y2,,,,,,,,,,,,,,,,,,,,
14,XH,,,,,,,,,,,,,,,,,,,,
14,YH,,,,,,,,,,,,,,,,,,,,
15,X1,,,,,,,,,,,,,,,,,,,,
15,Y1,,,,,,,,,,,,,,,,,,,,
15,X2,,,,,,,,,,,,,,,,,,,,
15,Y2,,,,,,,,,,,,,,,,,,,,
15,XH,,,,,,,,,,,,,,,,,,,,
15,YH,,,,,,,,,,,,,,,,,,,,
16,X1,,,,,,,,,,,,,,,,,,,,
16,Y1,,,,,,,,,,,,,,,,,,,,
16,X2,,,,,,,,,,,,,,,,,,,,
16,Y2,,,,,,,,,,,,,,,,,,,,
16,XH,,,,,,,,,,,,,,,,,,,,
16,YH,,,,,,,,,,,,,,,,,,,,
17,X1,,,,,,,,,,,,,,,,,,,,
17,Y1,,,,,,,,,,,,,,,,,,,,
17,X2,,,,,,,,,,,,,,,,,,,,
17,Y2,,,,,,,,,,,,,,,,,,,,
17,XH,,,,,,,,,,,,,,,,,,,,
17,YH,,,,,,,,,,,,,,,,,,,,
18,X1,,,,,,,,,,,,,,,,,,,,
18,Y1,,,,,,,,,,,,,,,,,,,,
18,X2,,,,,,,,,,,,,,,,,,,,
18,Y2,,,,,,,,,,,,,,,,,,,,
18,XH,,,,,,,,,,,,,,,,,,,,
18,YH,,,,,,,,,,,,,,,,,,,,
19,X1,,,,,,,,,,,,,,,,,,,,
19,Y1,,,,,,,,,,,,,,,,,,,,
19,X2,,,,,,,,,,,,,,,,,,,,
19,Y2,,,,,,,,,,,,,,,,,,,,
19,XH,,,,,,,,,,,,,,,,,,,,
19,YH,,,,,,,,,,,,,,,,,,,,
20,X1,,,,,,,,,,,,,,,,,,,,
20,Y1,,,,,,,,,,,,,,,,,,,,
20,X2,,,,,,,,,,,,,,,,,,,,
20,Y2,,,,,,,,,,,,,,,,,,,,
20,XH,,,,,,,,,,,,,,,,,,,,
20,YH,,,,,,,,,,,,,,,,,,,,
21,X1,,,,,,,,,,,,,,,,,,,,
21,Y1,,,,,,,,,,,,,,,,,,,,
21,X2,,,,,,,,,,,,,,,,,,,,
21,Y2,,,,,,,,,,,,,,,,,,,,
21,XH,,,,,,,,,,,,,,,,,,,,
21,YH,,,,,,,,,,,,,,,,,,,,
22,X1,,,,,,,,,,,,,,,,,,,,
22,Y1,,,,,,,,,,,,,,,,,,,,
22,X2,,,,,,,,,,,,,,,,,,,,
22,Y2,,,,,,,,,,,,,,,,,,,,
22,XH,,,,,,,,,,,,,,,,,,,,
22,YH,,,,,,,,,,,,,,,,,,,,
23,X1,,,,,,,,,,,,,,,,,,,,
23,Y1,,,,,,,,,,,,,,,,,,,,
23,X2,,,,,,,,,,,,,,,,,,,,
23,Y2,,,,,,,,,,,,,,,,,,,,
23,XH,,,,,,,,,,,,,,,,,,,,
23,YH,,,,,,,,,,,,,,,,,,,,
24,X1,,,,,,,,,,,,,,,,,,,,
24,Y1,,,,,,,,,,,,,,,,,,,,
