Film No's,Actual Dose,Log Dose,Red Ch,std dev,Green Ch,std dev,Blue Ch,std dev
(C ),(Gy),log10(Gy),pix,,pix,,pix,
1,0.09,-1.045757491,28878.4,375.335,28276.6,312.051,17502,219.556
2,0.21,-0.677780705,27215.2,455.279,27241.3,393.205,17534.1,267.484
3,0.53,-0.27572413,19693.5,305.982,21042.9,300.122,15000.7,228.025
4,1.03,0.012837225,15651.8,327.418,17427.8,323.193,13982.2,263.457
5,2.05,0.311753861,13673.5,412.422,15507.4,420.976,13314.3,385.864
6,5.07,0.705007959,8207.55,305.019,9403.73,296.854,9999.46,210.965
7,9.53,0.979092901,5186.69,237.114,5808.81,258.509,7541.88,177.203
8,24.04,1.380934463,2119.2,114.243,2155.65,161.911,4069.44,152.268
9,49.42,1.693902741,720.442,37.5304,596.404,58.7365,1537.76,83.1666
10,67.03,1.826269219,550,36.7022,400,52.5684,1100,97.9949
11,100.81,2.003503615,355.183,19.1109,237.913,23.3282,723.085,54.0273
12,236.46,2.373757685,210.346,14.8429,137.244,12.9581,321.98,29.6202
13,396.13,2.597837734,164.214,12.8822,113.47,11.2138,184.562,16.0301
14,490.08,2.690266979,147.857,12.4242,105.214,10.6155,138.183,12.0195
15,731.3,2.864095573,,,,,,
16,985.71,2.993749162,,,,,,
17,1510.89,3.179232847,,,,,,
19,2000,3.301029996,,,,,,
20,2250,3.352182518,,,,,,
21,3000,3.477121255,,,,,,
22,5000,3.698970004,,,,,,
23,7500,3.875061263,,,,,,
24,10000,4,,,,,,
