Film No's,Actual Dose,Log Dose,Red Ch,std dev,Green Ch,std dev,Blue Ch,std dev
(C ),(Gy),log10(Gy),pix,,pix,,pix,
1,0.09,-1.045757491,37681.3,703.709,39970.2,604.133,30343.6,534.356
2,0.21,-0.677780705,37883,792.212,40133.2,707.547,31295.3,608.663
3,0.53,-0.27572413,38155.6,715.101,40369.1,625.915,31738.5,541.747
4,1.03,0.012837225,37560.9,709.105,39769.5,606.549,31436.2,552.21
5,2.05,0.311753861,36619.8,739.68,39947.6,768.115,31087.9,638.851
6,5.07,0.705007959,34550.2,704.122,38652.9,705.796,30869.2,613.144
7,9.53,0.979092901,31752.6,884.935,37100.2,987.231,30544.6,867.844
8,24.04,1.380934463,26171.9,780.989,33820.8,826.87,29672.9,717.431
9,49.42,1.693902741,19193.5,736.533,28865.7,789.128,26771.6,638.96
10,67.03,1.826269219,16138.4,717.467,26148.5,810.282,25775,673.516
11,100.81,2.003503615,12849,734.589,22463.5,908.068,23896.9,809.968
12,236.46,2.373757685,7226.74,524.45,14913.9,726.053,19357.1,676.544
13,396.13,2.597837734,5011.13,270.247,10947.6,506.124,15663.8,446.117
14,490.08,2.690266979,4799.75,251.038,10123.8,483.336,15023.3,446.805
15,731.3,2.864095573,3522.93,211.859,7409.98,430.568,12291.9,456.163
16,985.71,2.993749162,3148.63,207.834,6284.61,405.721,10868.7,441.019
17,1510.89,3.179232847,2442.18,261.129,4664.43,470.738,8342.47,568.185
19,2000,3.301029996,2270.01,254.662,4040.36,429.553,7311.43,543.55
20,2250,3.352182518,2179.1,219.675,3781.21,395.648,6889.36,489.953
21,3000,3.477121255,1939.82,222.129,3244.37,287.188,5647.17,396.537
22,5000,3.698970004,1720.36,212.975,2663.23,266.708,4452.74,370.667
23,7500,3.875061263,1562.86,199.031,2297.04,243.206,3635.76,335.296
24,10000,4,1344.39,170.674,1895.37,202.45,2850.38,274.718
