Shot,Coordinate,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20
1,X1,109,105,160,154,116,100,154,161,75,118,163,126,79,92,143,113,104,,,
1,Y1,181,165,136,139,139,92,72,47,86,22,30,17,82,106,118,75,133,,,
1,X2,656,642,708,694,665,686,740,745,664,706,751,712,666,678,725,697,689,,,
1,Y2,154,152,111,109,111,80,56,41,63,15,20,11,73,95,98,77,117,,,
1,XH,385,384,413,401,377,367,452,430,367,414,433,376,368,355,435,342,373,,,
1,YH,461,455,419,422,418,380,357,341,368,312,318,309,371,394,402,367,419,,,
2,X1,127,149,133,200,134,124,177,205,123,118,157,223,104,121,165,256,104,,,
2,Y1,150,119,158,163,107,96,112,151,97,98,115,142,106,84,121,148,88,,,
2,X2,693,701,720,786,723,714,767,793,715,708,747,810,687,705,746,841,689,,,
2,Y2,151,128,155,162,115,106,117,143,123,106,125,140,96,100,124,142,89,,,
2,XH,405,405,429,488,395,409,474,479,384,428,442,512,359,402,455,558,386,,,
2,YH,429,417,449,456,406,396,409,441,403,396,416,435,393,383,413,435,380,,,
3,X1,127,141,179,158,160,93,177,102,101,76,147,121,107,75,150,127,115,,,
3,Y1,150,94,99,84,109,151,161,175,124,113,64,90,85,117,106,62,78,,,
3,X2,693,682,726,683,704,681,761,688,691,663,735,708,692,653,735,704,696,,,
3,Y2,151,80,97,87,114,161,159,169,113,110,57,91,78,107,109,77,70,,,
3,XH,405,394,494,422,390,369,462,364,387,357,439,396,375,357,454,353,371,,,
3,YH,429,379,392,379,404,450,454,466,412,405,354,386,369,399,397,354,364,,,
4,X1,,,,,,,,,,,,,,,,,,,,
4,Y1,,,,,,,,,,,,,,,,,,,,
4,X2,,,,,,,,,,,,,,,,,,,,
4,Y2,,,,,,,,,,,,,,,,,,,,
4,XH,,,,,,,,,,,,,,,,,,,,
4,YH,,,,,,,,,,,,,,,,,,,,
5,X1,95,113,108,117,64,109,43,102,47,89,76,68,56,80,54,28,47,,,
5,Y1,77,65,78,123,119,94,90,131,141,182,113,177,94,99,94,114,108,,,
5,X2,666,692,695,700,655,698,633,687,635,672,663,651,640,661,641,615,625,,,
5,Y2,62,87,94,124,101,96,90,144,136,164,110,155,101,92,91,124,102,,,
5,XH,375,387,385,401,324,395,325,370,304,365,357,336,288,351,332,266,313,,,
5,YH,360,367,381,418,406,385,383,430,432,468,405,462,389,388,382,409,394,,,
6,X1,122,122,108,92,116,124,148,94,108,159,181,113,77,128,185,112,65,,,
6,Y1,132,129,133,145,112,103,99,118,117,102,109,111,177,190,209,213,127,,,
6,X2,710,706,694,675,702,711,731,677,693,743,766,696,656,712,769,698,649,,,
6,Y2,125,133,141,151,99,115,100,119,106,69,102,112,170,185,202,204,139,,,
6,XH,406,408,392,369,412,408,426,377,398,481,478,386,366,428,483,399,321,,,
6,YH,423,426,427,438,398,400,391,411,404,380,400,405,462,480,495,498,422,,,
7,X1,99,122,138,160,110,124,149,173,76,111,159,183,80,120,129,195,69,,,
7,Y1,138,133,146,111,117,196,176,193,196,197,203,224,84,113,115,111,181,,,
7,X2,674,686,700,720,668,705,734,755,664,695,740,765,666,702,710,777,645,,,
7,Y2,132,129,127,93,117,184,156,192,197,207,209,208,93,111,127,120,198,,,
7,XH,355,395,425,428,390,433,455,449,368,389,443,474,370,419,408,484,334,,,
7,YH,426,425,431,395,409,488,451,482,487,494,497,511,379,402,408,403,477,,,
8,X1,57,121,99,163,57,161,100,150,67,162,116,150,102,156,120,144,77,,,
8,Y1,190,171,153,141,195,185,180,157,155,135,139,141,153,126,134,131,195,,,
8,X2,615,678,648,708,643,746,684,732,656,749,699,734,683,737,704,728,659,,,
8,Y2,164,155,138,142,184,179,164,148,141,145,125,135,166,127,134,148,174,,,
8,XH,366,416,387,413,347,457,392,440,356,439,406,439,379,444,424,420,386,,,
8,YH,468,456,435,431,485,474,466,442,440,435,426,430,447,419,425,432,474,,,
9,X1,104,137,158,140,74,111,91,145,88,51,111,111,70,104,133,96,56,,,
9,Y1,128,118,127,156,138,148,195,174,127,133,148,116,68,87,119,168,109,,,
9,X2,652,697,695,687,642,695,676,722,670,634,694,691,652,686,715,674,637,,,
9,Y2,122,127,129,130,136,142,178,170,165,137,147,119,76,97,142,186,106,,,
9,XH,380,414,433,440,363,414,393,436,353,326,391,401,367,395,420,372,335,,,
9,YH,418,413,421,436,430,435,477,460,436,428,436,406,361,382,423,469,397,,,
10,X1,89,125,156,140,50,129,173,154,72,113,175,131,56,118,182,160,41,,,
10,Y1,172,175,150,142,195,178,171,214,132,102,108,118,146,119,106,100,104,,,
10,X2,671,703,734,720,631,708,753,733,654,695,758,714,616,681,744,720,607,,,
10,Y2,161,174,134,139,177,166,170,204,99,83,102,110,165,104,109,94,127,,,
10,XH,382,404,456,424,350,423,461,438,375,414,475,422,304,414,457,430,290,,,
10,YH,458,465,437,437,477,461,464,505,408,385,402,406,442,401,396,389,404,,,
11,X1,89,125,156,140,50,129,173,154,72,113,175,131,56,118,182,160,41,,,
11,Y1,172,175,150,142,195,178,171,214,132,102,108,118,146,119,106,100,104,,,
11,X2,671,703,734,720,631,708,753,733,654,695,758,714,616,681,744,720,607,,,
11,Y2,161,174,134,139,177,166,170,204,99,83,102,110,165,104,109,94,127,,,
11,XH,382,404,456,424,350,423,461,438,375,414,475,422,304,414,457,430,290,,,
11,YH,458,465,437,437,477,461,464,505,408,385,402,406,442,401,396,389,404,,,
12,X1,89,125,156,140,50,129,173,154,72,113,175,131,56,118,182,160,41,,,
12,Y1,172,175,150,142,195,178,171,214,132,102,108,118,146,119,106,100,104,,,
12,X2,671,703,734,720,631,708,753,733,654,695,758,714,616,681,744,720,607,,,
12,Y2,161,174,134,139,177,166,170,204,99,83,102,110,165,104,109,94,127,,,
12,XH,382,404,456,424,350,423,461,438,375,414,475,422,304,414,457,430,290,,,
12,YH,458,465,437,437,477,461,464,505,408,385,402,406,442,401,396,389,404,,,
13,X1,121,152,188,99,99,160,181,133,67,145,178,120,76,153,154,127,55,,,
13,Y1,144,141,126,151,162,143,150,118,145,108,126,91,180,151,197,150,125,,,
13,X2,709,737,769,683,683,745,764,714,653,727,762,708,653,732,736,714,637,,,
13,Y2,151,153,126,137,155,145,137,108,127,116,132,102,189,184,220,169,136,,,
13,XH,395,457,484,383,399,445,476,424,355,416,449,389,344,402,426,366,320,,,
13,YH,437,444,416,437,449,434,437,405,428,400,421,389,473,459,498,452,420,,,
14,X1,81,114,133,163,71,108,114,145,52,78,73,160,50,28,94,126,30,,,
14,Y1,142,119,133,154,197,187,194,200,132,135,208,207,122,161,163,206,86,,,
14,X2,667,698,717,743,658,695,698,729,638,662,656,745,629,614,675,708,603,,,
14,Y2,142,121,145,165,207,202,204,185,110,157,207,226,126,171,191,234,93,,,
14,XH,350,383,399,436,339,370,384,435,317,331,358,437,318,283,358,386,315,,,
14,YH,433,412,431,450,497,489,492,487,410,438,500,509,413,457,471,509,377,,,
15,X1,116,143,114,138,108,117,113,148,95,62,140,130,108,117,170,185,106,,,
15,Y1,309,276,234,220,133,106,86,88,124,108,121,133,113,107,137,144,168,,,
15,X2,683,695,668,703,681,704,699,726,681,650,724,718,684,699,749,761,687,,,
15,Y2,292,269,212,196,108,106,79,77,123,109,131,131,116,104,135,135,166,,,
15,XH,389,410,387,425,396,395,393,438,368,338,419,434,398,387,458,473,396,,,
15,YH,593,565,517,501,415,402,375,374,415,400,418,426,407,396,426,422,452,,,
16,X1,67,138,140,84,28,106,92,135,17,91,76,78,4,42,57,140,23,,,
16,Y1,148,142,173,198,126,155,158,186,89,91,142,164,134,114,133,150,178,,,
16,X2,656,725,727,670,617,691,676,720,607,675,661,664,583,622,636,722,600,,,
16,Y2,159,163,197,201,127,161,172,185,97,108,139,138,130,115,138,145,170,,,
16,XH,327,412,408,375,307,375,352,434,306,348,363,378,276,310,333,414,308,,,
16,YH,448,446,483,497,422,454,460,478,388,392,433,441,425,411,425,432,466,,,
17,X1,70,96,172,156,70,116,145,159,50,103,159,168,44,96,140,168,58,,,
17,Y1,246,229,209,212,132,77,86,110,111,103,117,98,182,178,166,159,111,,,
17,X2,657,681,759,738,663,702,733,744,641,689,747,751,629,678,723,751,636,,,
17,Y2,233,197,211,198,119,69,103,106,99,112,126,97,183,157,162,154,147,,,
17,XH,353,427,493,445,365,391,417,438,329,366,438,438,327,385,437,457,309,,,
17,YH,534,506,504,498,419,369,390,399,401,400,414,391,476,457,454,439,419,,,
18,X1,50,66,177,104,70,120,96,97,66,104,112,89,40,100,96,94,64,,,
18,Y1,178,151,104,51,163,135,141,136,205,163,152,183,156,161,155,163,131,,,
18,X2,639,654,761,691,657,705,683,682,654,694,700,678,621,678,673,674,647,,,
18,Y2,162,125,71,30,158,133,137,109,190,162,171,186,152,160,148,161,109,,,
18,XH,362,390,486,411,338,401,382,402,379,395,404,397,304,380,372,380,377,,,
18,YH,466,432,381,334,457,428,431,416,491,457,460,478,445,451,438,449,408,,,
19,X1,82,109,138,134,61,106,109,144,41,95,55,99,50,87,39,62,92,,,
19,Y1,105,120,117,85,170,145,145,145,175,158,164,176,162,158,167,197,126,,,
19,X2,671,692,721,720,644,691,694,724,629,680,640,686,632,662,614,649,664,,,
19,Y2,108,137,98,66,146,116,140,148,167,145,178,179,149,147,176,194,115,,,
19,XH,360,383,432,434,374,384,383,434,344,371,324,413,339,383,304,329,374,,,
19,YH,398,423,399,370,450,424,433,440,462,449,462,471,443,442,459,480,405,,,
20,X1,81,50,131,149,68,145,151,122,83,141,115,117,70,113,110,120,62,,,
20,Y1,107,138,102,109,148,140,176,157,156,127,136,169,181,175,181,180,124,,,
20,X2,667,635,714,729,658,729,738,708,666,727,700,698,648,691,693,704,643,,,
20,Y2,109,140,111,112,136,139,180,156,142,139,134,161,180,168,182,185,143,,,
20,XH,357,326,395,410,355,357,429,419,390,421,413,417,362,406,404,400,324,,,
20,YH,400,433,399,404,437,435,476,452,443,427,430,460,472,464,475,472,423,,,
21,X1,101,87,204,129,40,79,157,114,61,125,142,134,64,135,123,108,57,,,
21,Y1,136,140,57,42,240,234,238,222,152,120,134,137,105,89,98,105,151,,,
21,X2,684,665,788,711,628,662,739,696,647,712,728,713,644,715,707,692,639,,,
21,Y2,119,113,54,39,230,219,227,210,143,117,126,123,91,105,92,90,150,,,
21,XH,391,385,495,425,332,370,454,410,349,409,438,405,343,452,415,403,333,,,
21,YH,418,423,347,338,529,519,519,509,442,417,423,421,389,388,389,387,436,,,
22,X1,35,66,129,111,44,62,137,117,81,101,91,129,70,101,71,156,56,,,
22,Y1,223,151,134,93,203,139,150,139,160,150,134,128,145,146,131,121,121,,,
22,X2,623,647,708,699,637,645,720,697,667,683,676,711,645,670,655,734,636,,,
22,Y2,180,117,113,77,161,119,140,113,146,132,110,129,133,120,104,99,102,,,
22,XH,337,349,404,385,356,361,449,426,350,396,391,427,356,395,358,443,333,,,
22,YH,496,427,413,381,476,420,441,415,448,436,417,425,429,422,405,395,404,,,
23,X1,41,38,57,138,74,87,111,151,96,101,108,142,95,130,80,156,88,,,
23,Y1,216,211,163,111,180,132,111,114,206,174,149,143,114,102,113,116,188,,,
23,X2,629,624,639,724,662,673,695,738,684,687,692,726,679,712,665,740,670,,,
23,Y2,197,176,118,81,153,121,76,92,199,158,150,139,98,116,109,119,189,,,
23,XH,327,330,358,405,324,361,419,447,385,378,393,424,400,395,374,428,371,,,
23,YH,496,484,434,391,461,422,390,398,496,463,441,433,400,399,401,406,482,,,
24,X1,112,73,152,137,112,108,121,159,89,81,111,178,78,102,87,158,61,,,
24,Y1,174,117,126,135,193,172,184,166,139,121,116,117,221,200,184,199,183,,,
24,X2,700,659,737,719,703,691,708,737,675,667,693,762,666,685,667,741,641,,,
24,Y2,146,92,113,126,165,164,186,167,116,96,99,100,213,181,194,214,172,,,
24,XH,420,376,432,435,415,404,362,438,370,381,426,481,356,400,366,435,353,,,
24,YH,457,397,414,424,472,460,479,455,424,405,402,404,509,480,482,499,468,,,
25,X1,73,99,136,144,100,120,86,132,91,86,116,116,83,166,104,110,67,,,
25,Y1,197,189,155,123,137,115,112,112,185,199,215,195,133,121,141,152,194,,,
25,X2,662,687,720,729,685,706,674,719,679,674,701,698,661,750,685,694,647,,,
25,Y2,189,170,126,98,140,111,108,111,177,194,195,177,110,116,136,151,197,,,
25,XH,335,397,418,444,389,382,381,431,378,358,425,419,386,454,392,410,373,,,
25,YH,483,474,437,400,433,406,405,404,473,488,500,481,414,411,430,444,486,,,
26,X1,36,111,133,137,60,60,120,141,55,97,81,138,86,84,95,141,54,,,
26,Y1,146,119,91,102,136,141,128,158,183,194,194,185,197,168,197,190,177,,,
26,X2,624,696,714,721,646,646,706,727,641,685,667,719,667,662,675,723,635,,,
26,Y2,129,124,90,101,138,127,132,155,177,185,180,189,180,154,187,194,158,,,
26,XH,321,378,407,422,333,357,394,441,335,366,368,406,378,387,395,419,351,,,
26,YH,436,413,381,392,431,428,426,451,472,483,481,480,475,453,484,487,460,,,
27,X1,100,95,109,117,89,120,104,129,74,84,79,152,61,70,50,88,54,,,
27,Y1,185,192,174,99,135,117,87,118,185,193,213,188,139,131,154,178,212,,,
27,X2,687,684,697,701,676,708,689,716,665,671,663,732,652,654,636,676,646,,,
27,Y2,178,180,154,89,104,100,83,111,183,193,204,197,125,141,165,202,198,,,
27,XH,391,391,390,407,398,427,368,430,364,383,362,431,356,353,303,360,353,,,
27,YH,474,478,461,389,412,402,380,409,480,487,503,490,424,429,453,483,496,,,
28,X1,66,112,78,144,69,116,103,159,74,72,120,140,55,66,113,110,60,,,
28,Y1,133,118,116,100,123,105,113,157,107,99,115,155,153,167,172,190,177,,,
28,X2,652,700,666,730,658,702,691,746,663,658,710,724,642,650,700,694,641,,,
28,Y2,135,103,103,99,129,106,124,175,103,106,124,166,162,165,176,199,180,,,
28,XH,324,246,370,426,362,395,364,436,308,399,388,443,324,353,369,392,331,,,
28,YH,428,410,400,393,421,400,410,461,399,396,413,456,459,459,465,485,469,,,
29,X1,95,115,168,155,102,129,135,152,70,122,112,140,59,108,130,145,68,,,
29,Y1,170,154,109,104,119,108,87,110,113,100,122,147,163,145,166,171,175,,,
29,X2,680,704,756,745,693,716,721,736,665,712,700,722,649,691,720,728,654,,,
29,Y2,154,145,113,95,113,110,102,115,101,111,125,151,146,146,172,177,169,,,
29,XH,371,402,479,441,376,416,383,437,374,382,398,426,362,366,390,414,370,,,
29,YH,458,443,405,392,412,404,390,404,400,399,420,444,449,442,463,464,465,,,
30,X1,46,77,88,128,76,80,111,143,59,101,131,138,68,70,118,108,72,,,
30,Y1,219,207,166,176,131,122,130,126,151,164,166,184,149,132,138,150,156,,,
30,X2,635,663,671,713,663,667,697,727,648,689,714,718,653,655,700,697,657,,,
30,Y2,207,201,162,176,123,116,111,114,132,168,170,165,143,136,144,153,156,,,
30,XH,355,377,352,432,352,352,394,450,365,371,426,439,340,326,392,367,377,,,
30,YH,506,498,459,471,420,411,417,413,436,460,459,462,438,423,429,442,447,,,
31,X1,53,82,128,100,47,70,107,119,73,60,100,122,41,65,81,120,43,,,
31,Y1,160,130,119,130,111,96,125,130,111,90,74,77,214,202,177,209,179,,,
31,X2,638,663,714,686,632,661,691,696,664,643,685,712,629,646,666,704,624,,,
31,Y2,134,106,115,122,104,100,120,120,100,83,78,83,202,192,185,225,181,,,
31,XH,347,377,413,355,327,345,392,390,349,304,373,413,339,352,345,390,314,,,
31,YH,438,413,408,422,399,393,419,412,401,380,371,370,509,485,477,508,473,,,
32,X1,52,103,83,74,45,84,67,67,65,85,57,72,41,69,46,73,37,,,
32,Y1,154,151,124,146,182,145,162,161,161,156,145,152,202,172,185,195,165,,,
32,X2,640,688,670,660,636,671,657,652,653,671,641,654,627,652,629,658,624,,,
32,Y2,139,132,128,147,170,144,143,158,154,152,143,163,191,171,175,195,155,,,
32,XH,329,398,354,321,335,355,354,341,355,365,348,381,314,345,345,368,343,,,
32,YH,439,434,417,441,468,439,445,446,452,449,438,452,488,468,464,485,452,,,
33,X1,40,64,125,145,61,91,135,152,79,108,120,144,84,104,95,121,64,,,
33,Y1,200,151,145,137,156,124,119,96,139,111,106,114,199,196,205,172,161,,,
