Shot,Coordinate,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17
1,X1,,,,,,,,,,,,,,,,,
1,Y1,,,,,,,,,,,,,,,,,
1,X2,,,,,,,,,,,,,,,,,
1,Y2,,,,,,,,,,,,,,,,,
2,X1,,,,,,,,,,,,,,,,,
2,Y1,,,,,,,,,,,,,,,,,
2,X2,,,,,,,,,,,,,,,,,
2,Y2,,,,,,,,,,,,,,,,,
3,X1,,,,,,,,,,,,,,,,,
3,Y1,,,,,,,,,,,,,,,,,
3,X2,,,,,,,,,,,,,,,,,
3,Y2,,,,,,,,,,,,,,,,,
4,X1,,,,,,,,,,,,,,,,,
4,Y1,,,,,,,,,,,,,,,,,
4,X2,,,,,,,,,,,,,,,,,
4,Y2,,,,,,,,,,,,,,,,,
5,X1,,,,,,,,,,,,,,,,,
5,Y1,,,,,,,,,,,,,,,,,
5,X2,,,,,,,,,,,,,,,,,
5,Y2,,,,,,,,,,,,,,,,,
6,X1,,,,,,,,,,,,,,,,,
6,Y1,,,,,,,,,,,,,,,,,
6,X2,,,,,,,,,,,,,,,,,
6,Y2,,,,,,,,,,,,,,,,,
7,X1,,,,,,,,,,,,,,,,,
7,Y1,,,,,,,,,,,,,,,,,
7,X2,,,,,,,,,,,,,,,,,
7,Y2,,,,,,,,,,,,,,,,,
8,X1,,,,,,,,,,,,,,,,,
8,Y1,,,,,,,,,,,,,,,,,
8,X2,,,,,,,,,,,,,,,,,
8,Y2,,,,,,,,,,,,,,,,,
9,X1,,,,,,,,,,,,,,,,,
9,Y1,,,,,,,,,,,,,,,,,
9,X2,,,,,,,,,,,,,,,,,
9,Y2,,,,,,,,,,,,,,,,,
10,X1,,,,,,,,,,,,,,,,,
10,Y1,,,,,,,,,,,,,,,,,
10,X2,,,,,,,,,,,,,,,,,
10,Y2,,,,,,,,,,,,,,,,,
11,X1,,,,,,,,,,,,,,,,,
11,Y1,,,,,,,,,,,,,,,,,
11,X2,,,,,,,,,,,,,,,,,
11,Y2,,,,,,,,,,,,,,,,,
12,X1,,,,,,,,,,,,,,,,,
12,Y1,,,,,,,,,,,,,,,,,
12,X2,,,,,,,,,,,,,,,,,
12,Y2,,,,,,,,,,,,,,,,,
13,X1,,,,,,,,,,,,,,,,,
13,Y1,,,,,,,,,,,,,,,,,
13,X2,,,,,,,,,,,,,,,,,
13,Y2,,,,,,,,,,,,,,,,,
14,X1,,,,,,,,,,,,,,,,,
14,Y1,,,,,,,,,,,,,,,,,
14,X2,,,,,,,,,,,,,,,,,
14,Y2,,,,,,,,,,,,,,,,,
15,X1,,,,,,,,,,,,,,,,,
15,Y1,,,,,,,,,,,,,,,,,
15,X2,,,,,,,,,,,,,,,,,
15,Y2,,,,,,,,,,,,,,,,,
16,X1,,,,,,,,,,,,,,,,,
